ANO,ESTADO,CIDADE,DATA,FERIADO
2022,AC,Brasiléia,01/01/2022,Ano Novo
2022,AC,Brasiléia,21/01/2022,Dia Do Católico
2022,AC,Brasiléia,23/01/2022,Dia Do Evangélico
2022,AC,Brasiléia,28/02/2022,Carnaval
2022,AC,Brasiléia,01/03/2022,Carnaval
2022,AC,Brasiléia,02/03/2022,Carnaval
2022,AC,Brasiléia,11/03/2022,Dia Da Mulher
2022,AC,Brasiléia,15/04/2022,Sexta-Feira Santa
2022,AC,Brasiléia,21/04/2022,Dia De Tiradentes
2022,AC,Brasiléia,01/05/2022,Dia Do Trabalho
2022,AC,Brasiléia,15/06/2022,Aniversário Do Acre
2022,AC,Brasiléia,16/06/2022,Corpus Christi
2022,AC,Brasiléia,03/07/2022,Feriado Municipal
2022,AC,Brasiléia,06/08/2022,Revolução Acreana
2022,AC,Brasiléia,06/09/2022,Feriado Municipal
2022,AC,Brasiléia,07/09/2022,Independência Do Brasil
2022,AC,Brasiléia,09/09/2022,Dia Da Amazônia
2022,AC,Brasiléia,12/10/2022,Nossa Senhora Aparecida
2022,AC,Brasiléia,15/10/2022,Dia Do Professor
2022,AC,Brasiléia,28/10/2022,Dia Do Servidor Público
2022,AC,Brasiléia,02/11/2022,Dia De Finados
2022,AC,Brasiléia,15/11/2022,Proclamação Da República
2022,AC,Brasiléia,18/11/2022,Tratado De Petrópolis
2022,AC,Brasiléia,25/12/2022,Natal
2022,AC,Assis Brasil,01/01/2022,Ano Novo
2022,AC,Assis Brasil,21/01/2022,Dia Do Católico
2022,AC,Assis Brasil,23/01/2022,Dia Do Evangélico
2022,AC,Assis Brasil,28/02/2022,Carnaval
2022,AC,Assis Brasil,01/03/2022,Carnaval
2022,AC,Assis Brasil,02/03/2022,Carnaval
2022,AC,Assis Brasil,11/03/2022,Dia Da Mulher
2022,AC,Assis Brasil,15/04/2022,Sexta-Feira Santa
2022,AC,Assis Brasil,21/04/2022,Dia De Tiradentes
2022,AC,Assis Brasil,01/05/2022,Dia Do Trabalho
2022,AC,Assis Brasil,14/05/2022,Feriado Municipal
2022,AC,Assis Brasil,31/05/2022,Feriado Municipal
2022,AC,Assis Brasil,15/06/2022,Aniversário Do Acre
2022,AC,Assis Brasil,16/06/2022,Corpus Christi
2022,AC,Assis Brasil,06/08/2022,Revolução Acreana
2022,AC,Assis Brasil,15/08/2022,Feriado Municipal
2022,AC,Assis Brasil,07/09/2022,Independência Do Brasil
2022,AC,Assis Brasil,09/09/2022,Dia Da Amazônia
2022,AC,Assis Brasil,12/10/2022,Nossa Senhora Aparecida
2022,AC,Assis Brasil,15/10/2022,Dia Do Professor
2022,AC,Assis Brasil,28/10/2022,Dia Do Servidor Público
2022,AC,Assis Brasil,02/11/2022,Dia De Finados
2022,AC,Assis Brasil,15/11/2022,Proclamação Da República
2022,AC,Assis Brasil,18/11/2022,Tratado De Petrópolis
2022,AC,Assis Brasil,25/12/2022,Natal
2022,AC,Acrelândia,01/01/2022,Ano Novo
2022,AC,Acrelândia,21/01/2022,Dia Do Católico
2022,AC,Acrelândia,23/01/2022,Dia Do Evangélico
2022,AC,Acrelândia,28/02/2022,Carnaval
2022,AC,Acrelândia,01/03/2022,Carnaval
2022,AC,Acrelândia,02/03/2022,Carnaval
2022,AC,Acrelândia,11/03/2022,Dia Da Mulher
2022,AC,Acrelândia,15/04/2022,Sexta-Feira Santa
2022,AC,Acrelândia,21/04/2022,Dia De Tiradentes
2022,AC,Acrelândia,28/04/2022,Feriado Municipal
2022,AC,Acrelândia,01/05/2022,Dia Do Trabalho
2022,AC,Acrelândia,15/06/2022,Aniversário Do Acre
2022,AC,Acrelândia,16/06/2022,Corpus Christi
2022,AC,Acrelândia,06/08/2022,Revolução Acreana
2022,AC,Acrelândia,06/09/2022,Feriado Municipal
2022,AC,Acrelândia,07/09/2022,Independência Do Brasil
2022,AC,Acrelândia,09/09/2022,Dia Da Amazônia
2022,AC,Acrelândia,12/10/2022,Nossa Senhora Aparecida
2022,AC,Acrelândia,15/10/2022,Dia Do Professor
2022,AC,Acrelândia,28/10/2022,Dia Do Servidor Público
2022,AC,Acrelândia,02/11/2022,Dia De Finados
2022,AC,Acrelândia,15/11/2022,Proclamação Da República
2022,AC,Acrelândia,18/11/2022,Tratado De Petrópolis
2022,AC,Acrelândia,25/12/2022,Natal
2022,AC,Acre,01/01/2022,Ano Novo
2022,AC,Acre,21/01/2022,Dia Do Católico
2022,AC,Acre,23/01/2022,Dia Do Evangélico
2022,AC,Acre,28/02/2022,Carnaval
2022,AC,Acre,01/03/2022,Carnaval
2022,AC,Acre,02/03/2022,Carnaval
2022,AC,Acre,11/03/2022,Dia Da Mulher
2022,AC,Acre,15/04/2022,Sexta-Feira Santa
2022,AC,Acre,21/04/2022,Dia De Tiradentes
2022,AC,Acre,01/05/2022,Dia Do Trabalho
2022,AC,Acre,15/06/2022,Aniversário Do Acre
2022,AC,Acre,16/06/2022,Corpus Christi
2022,AC,Acre,06/08/2022,Revolução Acreana
2022,AC,Acre,07/09/2022,Independência Do Brasil
2022,AC,Acre,09/09/2022,Dia Da Amazônia
2022,AC,Acre,12/10/2022,Nossa Senhora Aparecida
2022,AC,Acre,15/10/2022,Dia Do Professor
2022,AC,Acre,28/10/2022,Dia Do Servidor Público
2022,AC,Marechal Thaumaturgo,01/01/2022,Ano Novo
2022,AC,Acre,02/11/2022,Dia De Finados
2022,AC,Marechal Thaumaturgo,21/01/2022,Dia Do Católico
2022,AC,Acre,15/11/2022,Proclamação Da República
2022,AC,Marechal Thaumaturgo,23/01/2022,Dia Do Evangélico
2022,AC,Acre,18/11/2022,Tratado De Petrópolis
2022,AC,Acre,25/12/2022,Natal
2022,AC,Marechal Thaumaturgo,28/02/2022,Carnaval
2022,AC,Marechal Thaumaturgo,01/03/2022,Carnaval
2022,AC,Marechal Thaumaturgo,02/03/2022,Carnaval
2022,AC,Manoel Urbano,01/01/2022,Ano Novo
2022,AC,Marechal Thaumaturgo,11/03/2022,Dia Da Mulher
